Path_for_mp4_video,Path_for_wav_file,csv_file_name,csv_file_name_path_fullvideo,csv_file_name_path_perframe,label
C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Finalised\User_0\run_0\video.mp4,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/wavfiles/Audio_BagOfLies_User_0_run_0_video.wav,Audio_BagOfLies_User_0_run_0_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_full_video/Audio_BagOfLies_User_0_run_0_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_frame_wise/Audio_BagOfLies_User_0_run_0_video.csv,Truthful
C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Finalised\User_0\run_1\video.mp4,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/wavfiles/Audio_BagOfLies_User_0_run_1_video.wav,Audio_BagOfLies_User_0_run_1_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_full_video/Audio_BagOfLies_User_0_run_1_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_frame_wise/Audio_BagOfLies_User_0_run_1_video.csv,Deceptive
C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Finalised\User_0\run_2\video.mp4,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/wavfiles/Audio_BagOfLies_User_0_run_2_video.wav,Audio_BagOfLies_User_0_run_2_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_full_video/Audio_BagOfLies_User_0_run_2_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_frame_wise/Audio_BagOfLies_User_0_run_2_video.csv,Deceptive
C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Finalised\User_0\run_3\video.mp4,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/wavfiles/Audio_BagOfLies_User_0_run_3_video.wav,Audio_BagOfLies_User_0_run_3_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_full_video/Audio_BagOfLies_User_0_run_3_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_frame_wise/Audio_BagOfLies_User_0_run_3_video.csv,Deceptive
C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Finalised\User_0\run_4\video.mp4,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/wavfiles/Audio_BagOfLies_User_0_run_4_video.wav,Audio_BagOfLies_User_0_run_4_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_full_video/Audio_BagOfLies_User_0_run_4_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_frame_wise/Audio_BagOfLies_User_0_run_4_video.csv,Deceptive
C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Finalised\User_0\run_5\video.mp4,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/wavfiles/Audio_BagOfLies_User_0_run_5_video.wav,Audio_BagOfLies_User_0_run_5_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_full_video/Audio_BagOfLies_User_0_run_5_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_frame_wise/Audio_BagOfLies_User_0_run_5_video.csv,Truthful
C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Finalised\User_1\run_0\video.mp4,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/wavfiles/Audio_BagOfLies_User_1_run_0_video.wav,Audio_BagOfLies_User_1_run_0_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_full_video/Audio_BagOfLies_User_1_run_0_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_frame_wise/Audio_BagOfLies_User_1_run_0_video.csv,Truthful
C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Finalised\User_1\run_1\video.mp4,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/wavfiles/Audio_BagOfLies_User_1_run_1_video.wav,Audio_BagOfLies_User_1_run_1_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_full_video/Audio_BagOfLies_User_1_run_1_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_frame_wise/Audio_BagOfLies_User_1_run_1_video.csv,Deceptive
C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Finalised\User_1\run_2\video.mp4,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/wavfiles/Audio_BagOfLies_User_1_run_2_video.wav,Audio_BagOfLies_User_1_run_2_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_full_video/Audio_BagOfLies_User_1_run_2_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_frame_wise/Audio_BagOfLies_User_1_run_2_video.csv,Truthful
C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Finalised\User_1\run_3\video.mp4,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/wavfiles/Audio_BagOfLies_User_1_run_3_video.wav,Audio_BagOfLies_User_1_run_3_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_full_video/Audio_BagOfLies_User_1_run_3_video.csv,C:/Users/Tilak Chan/OneDrive/Desktop/Tilak/BagOfLies/Audio_features/arff_files_frame_wise/Audio_BagOfLies_User_1_run_3_video.csv,Truthful
